09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "GET /quizzes/c1c27e73-e71c-477e-850c-71761a681e07/questions HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "[35m[1mPOST /questions/81d6cb29-7508-46ca-a84d-ff975ff461d1/options HTTP/1.1[0m" 201 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "GET /questions/81d6cb29-7508-46ca-a84d-ff975ff461d1 HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "GET /quizzes/c1c27e73-e71c-477e-850c-71761a681e07 HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "PUT /options/0d513cc4-d495-42d6-aceb-0190c8a00e36 HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "DELETE /options/0d513cc4-d495-42d6-aceb-0190c8a00e36 HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "PUT /questions/81d6cb29-7508-46ca-a84d-ff975ff461d1 HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "DELETE /questions/81d6cb29-7508-46ca-a84d-ff975ff461d1 HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "DELETE /quizzes/c1c27e73-e71c-477e-850c-71761a681e07 HTTP/1.1" 200 -
09-02-2024 16:38:16 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:16] "GET /tags HTTP/1.1" 200 -
09-02-2024 16:38:16 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:16] "GET /records?user_id=1 HTTP/1.1" 200 -
09-02-2024 16:38:16 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:16] "[31m[1mPOST /tags HTTP/1.1[0m" 403 -
09-02-2024 16:38:16 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:16] "[31m[1mDELETE /users/652fa04a-59db-49f3-8bb6-54a85cdf6331 HTTP/1.1[0m" 403 -
09-02-2024 16:38:16 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:16] "[31m[1mPOST /records HTTP/1.1[0m" 403 -
12-02-2024 09:50:24 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\config.py', reloading
12-02-2024 09:50:24 INFO       [_internal.py:96]  * Restarting with stat
12-02-2024 09:50:26 INFO       [config.py:15] setting up configs
12-02-2024 09:50:26 INFO       [config.py:41] setting up config completed
12-02-2024 09:50:26 INFO       [exceptions.py:126] registering error handlers
12-02-2024 09:50:26 INFO       [exceptions.py:132] registering error handlers completed
12-02-2024 09:50:26 INFO       [__init__.py:25] registering blueprints
12-02-2024 09:50:26 INFO       [__init__.py:34] registering blueprints completed
12-02-2024 09:50:26 INFO       [jwt.py:9] registering jwt system
12-02-2024 09:50:26 INFO       [jwt.py:14] registering jwt system completed
12-02-2024 09:50:26 WARNING    [_internal.py:96]  * Debugger is active!
12-02-2024 09:50:26 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
12-02-2024 09:50:28 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\config.py', reloading
12-02-2024 09:50:28 INFO       [_internal.py:96]  * Restarting with stat
12-02-2024 09:50:29 INFO       [config.py:15] setting up configs
12-02-2024 09:50:29 INFO       [config.py:38] setting up config completed
12-02-2024 09:50:29 INFO       [exceptions.py:126] registering error handlers
12-02-2024 09:50:29 INFO       [exceptions.py:132] registering error handlers completed
12-02-2024 09:50:29 INFO       [__init__.py:25] registering blueprints
12-02-2024 09:50:29 INFO       [__init__.py:34] registering blueprints completed
12-02-2024 09:50:29 INFO       [jwt.py:9] registering jwt system
12-02-2024 09:50:29 INFO       [jwt.py:14] registering jwt system completed
12-02-2024 09:50:29 WARNING    [_internal.py:96]  * Debugger is active!
12-02-2024 09:50:29 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
12-02-2024 09:50:37 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\config.py', reloading
12-02-2024 09:50:37 INFO       [_internal.py:96]  * Restarting with stat
12-02-2024 09:50:38 INFO       [config.py:15] setting up configs
12-02-2024 09:50:38 INFO       [config.py:37] setting up config completed
12-02-2024 09:50:38 INFO       [exceptions.py:126] registering error handlers
12-02-2024 09:50:38 INFO       [exceptions.py:132] registering error handlers completed
12-02-2024 09:50:38 INFO       [__init__.py:25] registering blueprints
12-02-2024 09:50:38 INFO       [__init__.py:34] registering blueprints completed
12-02-2024 09:50:38 INFO       [jwt.py:9] registering jwt system
12-02-2024 09:50:38 INFO       [jwt.py:14] registering jwt system completed
12-02-2024 09:50:38 WARNING    [_internal.py:96]  * Debugger is active!
12-02-2024 09:50:38 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
12-02-2024 09:52:40 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\blueprints\\auth.py', reloading
12-02-2024 09:52:41 INFO       [_internal.py:96]  * Restarting with stat
12-02-2024 09:52:42 INFO       [config.py:15] setting up configs
12-02-2024 09:52:42 INFO       [config.py:37] setting up config completed
12-02-2024 09:52:42 INFO       [exceptions.py:126] registering error handlers
12-02-2024 09:52:42 INFO       [exceptions.py:132] registering error handlers completed
12-02-2024 09:52:42 INFO       [__init__.py:25] registering blueprints
12-02-2024 09:52:42 INFO       [__init__.py:34] registering blueprints completed
12-02-2024 09:52:42 INFO       [jwt.py:9] registering jwt system
12-02-2024 09:52:42 INFO       [jwt.py:14] registering jwt system completed
12-02-2024 09:52:42 WARNING    [_internal.py:96]  * Debugger is active!
12-02-2024 09:52:42 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
12-02-2024 14:37:57 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:37:57] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
12-02-2024 14:38:02 WARNING    [mysql_access.py:29] Some unknown error occurred. Please contact the administrator!
12-02-2024 14:38:02 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:38:02] "[31m[1mPOST /auth/sign_up HTTP/1.1[0m" 409 -
12-02-2024 14:38:28 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:38:28] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
12-02-2024 14:38:40 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:38:40] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
12-02-2024 14:38:42 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:38:42] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
12-02-2024 14:38:52 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:38:52] "[31m[1mPOST /auth/sign_up HTTP/1.1[0m" 422 -
12-02-2024 14:38:58 INFO       [_internal.py:96] 127.0.0.1 - - [12/Feb/2024 14:38:58] "[31m[1mPOST /auth/sign_up HTTP/1.1[0m" 422 -
12-02-2024 14:48:18 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\blueprints\\auth.py', reloading
12-02-2024 14:48:18 INFO       [_internal.py:96]  * Restarting with stat
12-02-2024 14:48:19 INFO       [config.py:15] setting up configs
12-02-2024 14:48:19 INFO       [config.py:37] setting up config completed
12-02-2024 14:48:19 INFO       [exceptions.py:126] registering error handlers
12-02-2024 14:48:19 INFO       [exceptions.py:132] registering error handlers completed
12-02-2024 14:48:19 INFO       [__init__.py:25] registering blueprints
12-02-2024 14:48:19 INFO       [__init__.py:34] registering blueprints completed
12-02-2024 14:48:19 INFO       [jwt.py:9] registering jwt system
12-02-2024 14:48:19 INFO       [jwt.py:14] registering jwt system completed
12-02-2024 14:48:19 WARNING    [_internal.py:96]  * Debugger is active!
12-02-2024 14:48:19 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
12-02-2024 14:48:43 INFO       [_internal.py:96]  * Detected change in 'C:\\Users\\tmudgal\\OneDrive - WatchGuard Technologies Inc\\code\\learning\\quiz_master\\src\\blueprints\\auth.py', reloading
12-02-2024 14:48:43 INFO       [_internal.py:96]  * Restarting with stat
12-02-2024 14:48:44 INFO       [config.py:15] setting up configs
12-02-2024 14:48:44 INFO       [config.py:37] setting up config completed
12-02-2024 14:48:44 INFO       [exceptions.py:126] registering error handlers
12-02-2024 14:48:44 INFO       [exceptions.py:132] registering error handlers completed
12-02-2024 14:48:44 INFO       [__init__.py:25] registering blueprints
12-02-2024 14:48:44 INFO       [__init__.py:34] registering blueprints completed
12-02-2024 14:48:44 INFO       [jwt.py:9] registering jwt system
